EkspertizAI — Ekspertiz İstasyon Veri Giriş Tablosu,,,,,,,,,,,,,,,,,,,
"⚠ Sarı alanlar zorunludur. | Google Rating: Google Maps puanı (1-5) | Sponsor Seviyesi: 0=Ücretsiz, 1=Basic (500₺/ay), 2=Premium (1000₺/ay)",,,,,,,,,,,,,,,,,,,
Ad *,Franchise,İl *,İlçe *,Adres,Telefon *,Telefon 2,E-posta,Website,Google Maps URL,Google Rating,Enlem,Boylam,"Aktif mi?
(EVET/HAYIR)","Sponsorlu mu?
(EVET/HAYIR)","Sponsor
Seviyesi
(0/1/2)","Sponsor
Başlangıç
(GG.AA.YYYY)","Sponsor
Bitiş
(GG.AA.YYYY)",Notlar,"Google
Place ID"
Pilot Garage Oto Ekspertiz Adana Bayii,Pilot Garage,Adana,Seyhan,"Yeşiloba, 46120. Sk. no:7/a, 01110 Seyhan/Adana, Türkiye",0539 511 00 11,,,,https://maps.google.com/?cid=9724784214729269967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Dynobil Ekipmanları Kozan Oto Ekspertiz ve MOR IŞIKla %100garanti-%50 daha uygun Fiyat ve Kızılötesi Teknolojisi,Dynobil,Adana,Kozan,"Cumhuriyet mah. Keleşoğlu sokak demiralp apt.zemin kat D:17, Cumhuriyet, 01510 Kozan/Adana, Türkiye",0545 525 69 29,,,,https://maps.google.com/?cid=9759201491485911520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Otorapor Adana Seyhan Oto Center Oto Ekspertiz,Otorapor,Adana,Seyhan,"Yeşiloba, 46120. Sk. No 61, 01100 Seyhan/Adana, Türkiye",0507 186 69 44,,,,https://maps.google.com/?cid=5360459398423474858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Adana Seyhan Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Yeşiloba, 46120. Sk. no:81, 01070 Seyhan/Adana, Türkiye",0544 657 01 02,,,,https://maps.google.com/?cid=5702700394791854720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Adana Teknik Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Yeşiloba, 46120. Sk. No: 77/A, 01100 Seyhan/Adana, Türkiye",0542 386 80 00,,,,https://maps.google.com/?cid=753659609153498580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
TARCANLAR TUNİNG OTO EKSPERTİZ ADANA,Bağımsız,Adana,Seyhan,"Onur, Turhan Cemal Beriker Blv. KİZA İŞ MERKEZİ A/4 blok no 437/1b, 01100 Seyhan/Adana, Türkiye",0537 307 03 15,,,,https://maps.google.com/?cid=11047449277110888567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz Kozan Adana,Pilot Garage,Adana,Kozan,"Varsaklar, 9270 Sk No: 2/A, 01500 Kozan/Adana, Türkiye",0532 161 90 96,,,,https://maps.google.com/?cid=7802428904738251568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,8",,,EVET,HAYIR,0,,,,
Yamanlar oto ekspertiz adana,Bağımsız,Adana,Seyhan,"Yeşiloba, 46120. Sk. 69/A, 01100 Seyhan/Adana, Türkiye",0507 449 32 01,,,,https://maps.google.com/?cid=18013602332704684839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz - Adana Oto Center,Bağımsız,Adana,Seyhan,"Adana, Yeşiloba, 01100 Seyhan/Adana, Türkiye",0533 366 33 01,,,,https://maps.google.com/?cid=16376176617824904945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Otorapor Adana Seyhan Ziyapaşa Oto Ekspertiz,Otorapor,Adana,Seyhan,"ŞEHİRMERKEZİ, Ziyapaşa, Mustafa Kemal Paşa Blv. NO:52\A, 01010 Seyhan/Adana, Türkiye",0544 458 14 58,,,,https://maps.google.com/?cid=8624994372417358662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
101 Nokta Oto Ekspertiz,Bağımsız,Adana,Seyhan,"mah, Sümer, Kıyıboyu Cd. 98/A, 01140 Seyhan/Adana, Türkiye",0535 880 12 40,,,,https://maps.google.com/?cid=4046250579469561653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,,,EVET,HAYIR,0,,,,
Auto King - Adana Seyhan Oto Ekspertiz 4x4,Auto King,Adana,Seyhan,"Yeşiloba, 46120. Sk. No:5600, 01100 Seyhan/Adana, Türkiye",0544 196 01 21,,,,https://maps.google.com/?cid=13228697098132621748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Otorapor Adana Yüreğir Oto Ekspertiz,Otorapor,Adana,Yüreğir,"Cumhuriyet, Gülbey Karataş Cd. No:45, 01280 Yüreğir/Adana, Türkiye",0554 181 98 45,,,,https://maps.google.com/?cid=1255356734848867997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Yüreğir Oto Ekspertiz,Bağımsız,Adana,Yüreğir,"Cumhuriyet, Süleyman Vahit Cd. No: 10, 01280 Yüreğir/Adana, Türkiye",(0322) 740 00 77,,,,https://maps.google.com/?cid=16351348161243744875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Sistem Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Yeşiloba, 46082. Sk. No:6, 01100 Seyhan/Adana, Türkiye",,,,,https://maps.google.com/?cid=7205199915650096744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,,,EVET,HAYIR,0,,,,
Sarıçam Oto Ekspertiz,Bağımsız,Adana,Yüreğir,"PTT, Kozan Cad. 597/A, 01220 Yüreğir/Adana, Türkiye",0506 033 56 93,,,,https://maps.google.com/?cid=4605065010592630747&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz Çukurova,Pilot Garage,Adana,Seyhan,"Fevzipaşa, Turhan Cemal Beriker Blv. No:270/A, 01190 Seyhan/Adana, Türkiye",(0322) 999 57 56,,,,https://maps.google.com/?cid=256119646987602029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,4",,,EVET,HAYIR,0,,,,
Siverek pilot garage oto ekspertiz,Pilot Garage,Adana,Siverek,"Ayvanat, 162 Sokak No 3, 63600 Siverek/Şanlıurfa, Türkiye",0543 770 99 91,,,,https://maps.google.com/?cid=15518956095299734035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
DYNOBİL Ceyhan Oto Ekspertiz,Bağımsız,Adana,Ceyhan,"Ulus, İbrahim Mete Blv. 14/A, 01940 Ceyhan/Adana, Türkiye",0554 856 90 66,,,,https://maps.google.com/?cid=3652214765540995518&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Otorapor Adana Ceyhan Oto Ekspertiz,Otorapor,Adana,Ceyhan,"Hürriyet, Cevher Dudayev Sk. No:124/1, 01920 Ceyhan/Adana, Türkiye",0533 762 59 49,,,,https://maps.google.com/?cid=1179777945166365906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
AUTO KALE OTO EKSPERTİZ CEYHAN,Auto Kale,Adana,Ceyhan,"Ulus, İbrahim Mete Blv. No:8, 01940 Ceyhan/Adana, Türkiye",0541 661 98 84,,,,https://maps.google.com/?cid=8038079208693561138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
PİLOT GARAGE OTO EKSPERTİZ KURUMSAL TSE HYB ONAYLI,Bağımsız,Adana,Ceyhan,"Ulus, İbrahim Mete Blv. 14 A, 01920 Ceyhan/Adana, Türkiye",0533 565 46 36,,,,https://maps.google.com/?cid=9825570476199096492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
KURUMSAL OTO EKSPERTİZ 360 KOZAN,Bağımsız,Adana,Sk. 12,"Karacaoğlan, 11115 Sk. 12/A, 01500 Kozan/Adana, Türkiye",0538 785 45 69,,,,https://maps.google.com/?cid=5357070983484359892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
KOZAN OTO EKSPERTİZ,Bağımsız,Adana,Yüreğir,"Sarıçam, Kozan Cad. No:182, 01220 Yüreğir/Adana, Türkiye",0546 974 01 04,,,,https://maps.google.com/?cid=14713425264703442260&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,7",,,EVET,HAYIR,0,,,,
Computest Kozan Oto Ekspertiz,Computest,Adana,Kozan,"Cumhuriyet, Turgut Özal Blv No: 22, 01540 Kozan/Adana, Türkiye",0534 231 90 97,,,,https://maps.google.com/?cid=1585400948195691250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Computest Oto Center Oto Ekspertiz,Computest,Adana,Seyhan,"Yeşiloba, 46094 sokak no:4, 01100 Seyhan/Adana, Türkiye",0545 199 06 34,,,,https://maps.google.com/?cid=7407418001150288622&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dynobil Adana Seyhan Oto Ekspertiz,Dynobil,Adana,Seyhan,"Ziyapaşa, Mustafa Kemal Paşa Blv. No:83/A, 01130 Seyhan/Adana, Türkiye",0540 254 09 99,,,,https://maps.google.com/?cid=14261825896318836958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Karşıyaka Oto Ekspertiz,Bağımsız,Adana,Seyhan,"Karataş Blv., Seyhan, 01390 Yüreğir, Seyhan, 01390 Seyhan/Adana, Türkiye",0553 016 79 34,,,,https://maps.google.com/?cid=13887033513722094655&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
01 Akdeniz Oto Ekspertiz Tamir Servisi,Bağımsız,Adana,Yüreğir,"Haydaroğlu, Karataş Blv. No: 146, 01390 Yüreğir/Adana, Türkiye",0551 026 95 39,,,,https://maps.google.com/?cid=13153433000007635236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Başaran Oto Servis ve Ekspertiz,Bağımsız,Adana,Seyhan,"Güney, Namık Kemal, Kıyıboyu Cd. no:105/a, 01140 Seyhan/Adana, Türkiye",0532 552 45 29,,,,https://maps.google.com/?cid=1660372611857301825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Kozan Oto Ekspertiz 2,Bağımsız,Adana,Sarıçam,"Yıldırım Beyazıt, Kozan Cad. No:771 D:A, 01250 Sarıçam/Adana, Türkiye",0549 584 01 01,,,,https://maps.google.com/?cid=6000704656475375771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Otorapor Adana İncirlik Oto Ekspertiz,Otorapor,Adana,Sarıçam,"Yeni, İncirlik Bulvarı NO: 35 S1 BLOK, 01340 Sarıçam/Adana, Türkiye",0552 327 31 43,,,,https://maps.google.com/?cid=15584341176220235765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
